,Title,Channel,Length,Likes,Dislikes,Views,Comments,Uploaded,Depth,LikeRatio,Polarity,Minutes,views_str,likes_str,dislikes_str,pol_string,LikeRatio_str,plot_text
10,Breakfast Club Classic: Childish Gambino A.K.A. Donald Glover On White Privilege & Twitter Activism,Breakfast Club Power 105.1 FM,33:01,30021,2657,2197685,5519,2018-05-10,7,91.869,0,33.0,2197685,30021,2657,0,91.869,Breakfast Club Classic: Childish Gambino A.K.A. Donald Glover On White Privilege & Twitter Activism <br>Polarity: 0<br>Views: 2197685<br>Likes: 30021<br>LikeRatio: 91.869<br>Length: 33:01
0,We Had a Drink & Straightened Our Boss's Hair,The Late Late Show with James Corden,16:48,5895,94,161138,883,2021-06-22,8,98.43,0,17.0,161138,5895,94,0,98.43,We Had a Drink & Straightened Our Boss's Hair <br>Polarity: 0<br>Views: 161138<br>Likes: 5895<br>LikeRatio: 98.43<br>Length: 16:48
1,"Team Trump Plagued by Chaos, Donny’s Botched Pandemic Response & We Finally Have a REAL Audience!",Jimmy Kimmel Live,11:40,20884,713,1064358,1503,2021-06-22,8,96.699,0,12.0,1064358,20884,713,0,96.699,"Team Trump Plagued by Chaos, Donny’s Botched Pandemic Response & We Finally Have a REAL Audience! <br>Polarity: 0<br>Views: 1064358<br>Likes: 20884<br>LikeRatio: 96.699<br>Length: 11:40"
2,Bill Hader Full Interview - CONAN on TBS,Team Coco,22:27,4045,24,71091,368,2021-06-22,8,99.41,0,22.0,71091,4045,24,0,99.41,Bill Hader Full Interview - CONAN on TBS <br>Polarity: 0<br>Views: 71091<br>Likes: 4045<br>LikeRatio: 99.41<br>Length: 22:27
3,James Corden Visits the Cast at the 'Friends' Reunion,The Late Late Show with James Corden,11:22,121369,1725,3573192,4039,2021-06-17,8,98.599,0,11.0,3573192,121369,1725,0,98.599,James Corden Visits the Cast at the 'Friends' Reunion <br>Polarity: 0<br>Views: 3573192<br>Likes: 121369<br>LikeRatio: 98.599<br>Length: 11:22
4,Tom Hiddleston Breaks Down His Most Iconic Characters | GQ,GQ,39:05,29799,125,527593,1407,2021-06-16,8,99.582,0,39.0,527593,29799,125,0,99.582,Tom Hiddleston Breaks Down His Most Iconic Characters | GQ <br>Polarity: 0<br>Views: 527593<br>Likes: 29799<br>LikeRatio: 99.582<br>Length: 39:05
5,"Golden Buzzer: Jimmie Herrod Surprises the Judges With ""Tomorrow"" - America's Got Talent 2021",America's Got Talent,06:08,3970,76,39900,429,2021-06-23,8,98.122,0,6.0,39900,3970,76,0,98.122,"Golden Buzzer: Jimmie Herrod Surprises the Judges With ""Tomorrow"" - America's Got Talent 2021 <br>Polarity: 0<br>Views: 39900<br>Likes: 3970<br>LikeRatio: 98.122<br>Length: 06:08"
6,colin jost and michael che being the power couple of snl,ADV,13:40,5941,84,284333,134,2021-06-05,8,98.606,0,14.0,284333,5941,84,0,98.606,colin jost and michael che being the power couple of snl <br>Polarity: 0<br>Views: 284333<br>Likes: 5941<br>LikeRatio: 98.606<br>Length: 13:40
7,Conan Takes A Hit Of Seth Rogen’s Joint - CONAN on TBS,Team Coco,06:08,6293,115,63980,896,2021-06-23,8,98.205,0,6.0,63980,6293,115,0,98.205,Conan Takes A Hit Of Seth Rogen’s Joint - CONAN on TBS <br>Polarity: 0<br>Views: 63980<br>Likes: 6293<br>LikeRatio: 98.205<br>Length: 06:08
8,Helen Hunt Doesn't Show Up to a Party Empty Handed,The Late Late Show with James Corden,07:34,865,15,43816,138,2021-06-22,8,98.295,0,8.0,43816,865,15,0,98.295,Helen Hunt Doesn't Show Up to a Party Empty Handed <br>Polarity: 0<br>Views: 43816<br>Likes: 865<br>LikeRatio: 98.295<br>Length: 07:34
9,"NYC Rocks With Foo Fighters & Chappelle, As No. 45 Preps Tour With Bill O'Reilly",The Late Show with Stephen Colbert,11:34,19128,453,910407,2329,2021-06-22,8,97.687,0,12.0,910407,19128,453,0,97.687,"NYC Rocks With Foo Fighters & Chappelle, As No. 45 Preps Tour With Bill O'Reilly <br>Polarity: 0<br>Views: 910407<br>Likes: 19128<br>LikeRatio: 97.687<br>Length: 11:34"
10,"Sarah Paulson on Pandemic Neurosis, Make Out Party with Matthew Perry & Friendship with Diane Keaton",Jimmy Kimmel Live,15:07,3088,67,136539,370,2021-06-22,8,97.876,0,15.0,136539,3088,67,0,97.876,"Sarah Paulson on Pandemic Neurosis, Make Out Party with Matthew Perry & Friendship with Diane Keaton <br>Polarity: 0<br>Views: 136539<br>Likes: 3088<br>LikeRatio: 97.876<br>Length: 15:07"
0,colin jost and michael che being the power couple of snl,ADV,13:40,5941,84,284333,134,2021-06-05,9,98.606,0,14.0,284333,5941,84,0,98.606,colin jost and michael che being the power couple of snl <br>Polarity: 0<br>Views: 284333<br>Likes: 5941<br>LikeRatio: 98.606<br>Length: 13:40
1,colin jost and michael che being SNL's power couple pt 2,ADV,13:29,5335,81,319416,161,2021-06-09,9,98.504,0,13.0,319416,5335,81,0,98.504,colin jost and michael che being SNL's power couple pt 2 <br>Polarity: 0<br>Views: 319416<br>Likes: 5335<br>LikeRatio: 98.504<br>Length: 13:29
2,Kevin Hart TROLLING SHAQ for 6 Minutes Straight,LaughPlanet,06:35,14653,297,1149008,393,2021-06-04,9,98.013,0,7.0,1149008,14653,297,0,98.013,Kevin Hart TROLLING SHAQ for 6 Minutes Straight <br>Polarity: 0<br>Views: 1149008<br>Likes: 14653<br>LikeRatio: 98.013<br>Length: 06:35
3,8 of Dave Chappelles Funniest Jokes,Daily Dose Comedy,28:12,53096,2591,5567399,1716,2020-07-15,9,95.347,0,28.0,5567399,53096,2591,0,95.347,8 of Dave Chappelles Funniest Jokes <br>Polarity: 0<br>Views: 5567399<br>Likes: 53096<br>LikeRatio: 95.347<br>Length: 28:12
4,snl moments that distract me from the fact that life is a nightmare,agustina,10:13,4998,73,212765,143,2021-05-23,9,98.56,0,10.0,212765,4998,73,0,98.56,snl moments that distract me from the fact that life is a nightmare <br>Polarity: 0<br>Views: 212765<br>Likes: 4998<br>LikeRatio: 98.56<br>Length: 10:13
5,Midsommar (2019) KILL COUNT,Dead Meat,33:00,99871,766,1754690,7533,2021-06-18,9,99.239,0,33.0,1754690,99871,766,0,99.239,Midsommar (2019) KILL COUNT <br>Polarity: 0<br>Views: 1754690<br>Likes: 99871<br>LikeRatio: 99.239<br>Length: 33:00
6,SNL's Colin Jost & Michael Che Take a Lie Detector Test | Vanity Fair,Vanity Fair,16:46,91542,1435,4772583,3435,2018-08-08,9,98.457,1,17.0,4772583,91542,1435,1,98.457,SNL's Colin Jost & Michael Che Take a Lie Detector Test | Vanity Fair <br>Polarity: 1<br>Views: 4772583<br>Likes: 91542<br>LikeRatio: 98.457<br>Length: 16:46
7,NEVER Ask a Comedian a Dumb Question,uwho22,10:21,145795,5325,13788824,11303,2018-08-22,9,96.476,0,10.0,13788824,145795,5325,0,96.476,NEVER Ask a Comedian a Dumb Question <br>Polarity: 0<br>Views: 13788824<br>Likes: 145795<br>LikeRatio: 96.476<br>Length: 10:21
8,michael che trying to cancel colin jost for four minutes and forty three seconds,Lena Winters,04:43,11749,175,612114,301,2021-06-13,9,98.532,0,5.0,612114,11749,175,0,98.532,michael che trying to cancel colin jost for four minutes and forty three seconds <br>Polarity: 0<br>Views: 612114<br>Likes: 11749<br>LikeRatio: 98.532<br>Length: 04:43
9,Trump Lashes Out at Canada & Windmills While Texas Builds Terrible Wall,Jimmy Kimmel Live,12:49,27131,1296,1522493,3681,2021-06-18,9,95.441,-1,13.0,1522493,27131,1296,-1,95.441,Trump Lashes Out at Canada & Windmills While Texas Builds Terrible Wall <br>Polarity: -1<br>Views: 1522493<br>Likes: 27131<br>LikeRatio: 95.441<br>Length: 12:49
10,snl moments that make my cheeks go numb,Joshifer Everlark,10:01,7311,168,359135,121,2021-06-05,9,97.754,-1,10.0,359135,7311,168,-1,97.754,snl moments that make my cheeks go numb <br>Polarity: -1<br>Views: 359135<br>Likes: 7311<br>LikeRatio: 97.754<br>Length: 10:01
